game_id,1_opener_fip,1_opener_freshness,1_others_fip,1_others_freshness,1_woba,1_ooa,1_home,1_team,1_is_wildcard,2_opener_fip,2_opener_freshness,2_others_fip,2_others_freshness,2_woba,w_ooa,2_team,2_is_wildcard,is_playoff,result
KCR_TEX_2023-04-12,3.9,120.0,4.22,43.2,0.303,31,1,KCR,0,2.23,120.0,3.2640000000000002,43.2,0.34,32,TEX,0,0,1
KCR_TEX_2023-04-17,4.72,144.0,5.4,120.0,0.303,31,0,KCR,0,1.22,144.0,3.1399999999999997,72.0,0.34,32,TEX,0,0,0
KCR_TEX_2023-04-18,2.19,144.0,2.795,60.0,0.34,32,1,TEX,0,4.3,144.0,5.015,68.0,0.303,31,KCR,0,0,1
KCR_TEX_2023-04-19,4.9,120.0,2.52,64.0,0.34,32,1,TEX,0,5.4,120.0,4.248333333333334,36.0,0.303,31,KCR,0,0,1
KCR_TEX_2025-06-17,4.6,120.0,4.153333333333333,72.0,0.307,31,1,KCR,0,5.01,144.0,3.55,72.0,0.299,27,TEX,0,0,1
KCR_TEX_2025-06-18,2.58,168.0,3.3649999999999998,60.0,0.307,31,1,KCR,0,4.66,144.0,3.9566666666666666,60.0,0.299,27,TEX,0,0,1
KCR_TEX_2025-06-19,3.86,144.0,3.6833333333333336,48.0,0.307,31,1,KCR,0,3.01,24.0,3.5133333333333336,112.0,0.299,27,TEX,0,0,1
KCR_TEX_2025-08-18,3.61,144.0,3.61,40.0,0.307,31,0,KCR,0,4.64,144.0,3.8,134.4,0.299,27,TEX,0,0,1
KCR_TEX_2025-08-19,5.0,144.0,3.6799999999999997,36.0,0.307,31,0,KCR,0,3.85,72.0,2.8375,48.0,0.299,27,TEX,0,0,1
KCR_TEX_2025-08-20,4.09,48.0,3.0466666666666664,192.0,0.299,27,1,TEX,0,3.9,120.0,4.1625,78.0,0.307,31,KCR,0,0,1
KCR_TEX_2025-08-21,4.47,120.0,3.782000000000001,153.6,0.299,27,1,TEX,0,4.44,120.0,3.8959999999999995,43.2,0.307,31,KCR,0,0,0
KCR_TOR_2016-07-04,3.5,120.0,4.17,72.0,0.327,4,0,TOR,0,4.08,120.0,3.455,120.0,0.307,22,KCR,0,0,1
KCR_TOR_2016-07-05,5.19,120.0,2.43,72.0,0.327,4,0,TOR,0,8.1,120.0,3.0066666666666664,27264.0,0.307,22,KCR,0,0,1
KCR_TOR_2016-07-06,5.02,120.0,2.64,96.0,0.307,22,1,KCR,0,3.88,120.0,2.42,96.0,0.327,4,TOR,0,0,0
KCR_TOR_2016-08-05,5.25,60.0,4.3260000000000005,43.2,0.327,4,1,TOR,0,5.28,120.0,3.5233333333333334,48.0,0.307,22,KCR,0,0,1
KCR_TOR_2016-08-06,3.32,144.0,0.48,96.0,0.327,4,1,TOR,0,3.27,120.0,2.855,24.0,0.307,22,KCR,0,0,0
KCR_TOR_2016-08-07,3.88,144.0,3.635,48.0,0.327,4,1,TOR,0,4.82,120.0,5.39,72.0,0.307,22,KCR,0,0,0
KCR_TOR_2017-06-23,6.02,144.0,2.783333333333333,80.0,0.312,17,0,KCR,0,3.76,120.0,4.819999999999999,48.0,0.312,-42,TOR,0,0,1
KCR_TOR_2017-06-24,4.01,120.0,3.64,48.0,0.312,-42,1,TOR,0,3.48,144.0,3.045,48.0,0.312,17,KCR,0,0,0
KCR_TOR_2017-06-25,4.5,144.0,4.395,90.0,0.312,17,0,KCR,0,4.85,60.0,2.89,88.0,0.312,-42,TOR,0,0,0
KCR_TOR_2017-09-19,5.65,264.0,3.98,48.0,0.312,17,1,KCR,0,3.76,144.0,2.755,96.0,0.312,-42,TOR,0,0,0
KCR_TOR_2017-09-20,4.37,72.0,4.64625,90.0,0.312,-42,0,TOR,0,4.36,144.0,5.108,81.6,0.312,17,KCR,0,0,0
KCR_TOR_2017-09-21,4.6,144.0,3.6119999999999997,62.4,0.312,17,1,KCR,0,3.92,144.0,4.1033333333333335,96.0,0.312,-42,TOR,0,0,1
KCR_TOR_2018-04-17,5.33,156.0,3.714,76.8,0.303,-14,1,KCR,0,5.93,1672.0,3.0690909090909084,80.72727272722221,0.319,-40,TOR,0,0,0
KCR_TOR_2018-04-18,4.66,108.0,4.14,974.4,0.319,-40,0,TOR,0,3.86,144.0,5.414,19.2,0.303,-14,KCR,0,0,1
KCR_TOR_2018-08-13,6.36,81672.0,2.54,96.0,0.319,-40,1,TOR,0,3.73,144.0,5.115,48.0,0.303,-14,KCR,0,0,0
KCR_TOR_2018-08-14,3.18,120.0,3.7383333333333333,48.0,0.319,-40,1,TOR,0,4.96,144.0,5.516666666666667,672.0,0.303,-14,KCR,0,0,1
KCR_TOR_2018-08-15,4.72,252.0,4.3500000000000005,72.0,0.303,-14,0,KCR,0,4.87,120.0,3.59,32.0,0.319,-40,TOR,0,0,0
KCR_TOR_2018-08-16,4.11,144.0,4.6875,90.0,0.303,-14,0,KCR,0,4.59,120.0,5.045,180.0,0.319,-40,TOR,0,0,1
KCR_TOR_2019-06-28,4.78,144.0,6.91,72.0,0.302,-17,1,KCR,0,6.54,96.0,3.4857142857142853,44.571428571388886,0.31,-27,TOR,0,0,0
KCR_TOR_2019-06-29,4.4,72.0,3.9050000000000002,84.0,0.302,-17,1,KCR,0,3.83,72.0,3.9742857142857146,44.571428571388886,0.31,-27,TOR,0,0,0
KCR_TOR_2019-06-30,4.46,144.0,3.09,66.0,0.302,-17,1,KCR,0,5.54,72.0,4.944,33.6,0.31,-27,TOR,0,0,1
KCR_TOR_2019-07-01,5.97,144.0,4.46,120.0,0.302,-17,1,KCR,0,6.59,144.0,3.2066666666666666,32.0,0.31,-27,TOR,0,0,0
KCR_TOR_2019-07-29,4.45,120.0,4.6,60.0,0.302,-17,0,KCR,0,4.72,264.0,4.616666666666667,32.0,0.31,-27,TOR,0,0,0
KCR_TOR_2019-07-30,5.48,60.0,5.02,54.0,0.302,-17,0,KCR,0,4.74,672.0,4.685714285714286,24.0,0.31,-27,TOR,0,0,0
KCR_TOR_2019-07-31,4.89,120.0,3.575,48.0,0.302,-17,0,KCR,0,4.55,120.0,4.2275,30.0,0.31,-27,TOR,0,0,0
KCR_TOR_2021-04-15,1.42,192.0,4.413333333333333,72.0,0.31668919772583703,22,0,KCR,0,1.37,5088.0,4.616666666666666,120.0,0.31668919772583703,-9,TOR,0,0,1
KCR_TOR_2021-04-17,2.815,168.0,3.7100000000000004,64.0,0.31668919772583703,-9,1,TOR,0,3.89,8760.0,3.7980000000000005,76.8,0.31668919772583703,22,KCR,0,0,0
KCR_TOR_2021-04-18,5.97,144.0,6.353333333333334,96.0,0.31668919772583703,-9,1,TOR,0,3.17,144.0,4.456666666666666,40.0,0.31668919772583703,22,KCR,0,0,0
KCR_TOR_2021-07-30,5.06,120.0,3.758,48.0,0.31668919772583703,-9,0,TOR,0,4.12,120.0,5.323333333333333,24.0,0.31668919772583703,22,KCR,0,0,1
KCR_TOR_2021-07-31,3.99,528.0,3.546666666666667,88.0,0.31668919772583703,-9,0,TOR,0,4.19,120.0,5.31,72.0,0.31668919772583703,22,KCR,0,0,1
KCR_TOR_2021-08-01,4.76,120.0,4.4799999999999995,85.71428571416666,0.31668919772583703,22,1,KCR,0,3.55,96.0,3.52,48.0,0.31668919772583703,-9,TOR,0,0,0
KCR_TOR_2022-06-06,5.02,144.0,5.3566666666666665,48.0,0.302,-1,0,KCR,0,3.14,120.0,2.5825,20448.0,0.331,6,TOR,0,0,0
KCR_TOR_2022-06-07,4.27,144.0,4.553333333333334,64.0,0.302,-1,0,KCR,0,3.03,120.0,2.8699999999999997,120.0,0.331,6,TOR,0,0,0
KCR_TOR_2022-06-08,4.7,120.0,4.0,45.0,0.331,6,1,TOR,0,4.13,120.0,3.4299999999999997,66.0,0.302,-1,KCR,0,0,0
KCR_TOR_2022-07-14,5.25,72.0,4.13,72.0,0.302,-1,1,KCR,0,1.85,288.0,4.569999999999999,72.0,0.331,6,TOR,0,0,1
KCR_TOR_2022-07-15,3.34,144.0,4.217499999999999,18.0,0.331,6,0,TOR,0,4.57,120.0,5.84,1368.0,0.302,-1,KCR,0,0,1
KCR_TOR_2022-07-16,4.34,72.0,3.2950000000000004,64.0,0.331,6,0,TOR,0,4.22,120.0,3.255,120.0,0.302,-1,KCR,0,0,1
