"team_name","team_id","year","primary_pos_formatted","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Cubs","112","2023","",17,15,7,-5,-1,4,13,"78%","78%","0%"
"Cubs","112","2021","",12,-3,10,5,0,-2,14,"78%","77%","1%"
"Cubs","112","2020","",9,7,1,1,-1,-1,10,"79%","78%","1%"
"Cubs","112","2022","",-24,-7,-1,-14,-1,-17,-7,"78%","79%","-1%"
"D-backs","109","2022","",42,20,14,-3,12,25,17,"80%","79%","1%"
"D-backs","109","2024","",37,29,13,-1,-6,11,25,"78%","77%","1%"
"D-backs","109","2023","",35,4,20,4,6,20,15,"79%","78%","1%"
"D-backs","109","2018","",29,21,-7,17,-1,29,0,"80%","79%","1%"
"D-backs","109","2019","",29,2,17,6,4,4,24,"78%","77%","1%"
"D-backs","109","2020","",10,1,2,4,2,9,1,"80%","79%","1%"
"D-backs","109","2025","",9,8,-13,16,-2,6,2,"79%","79%","0%"
"D-backs","109","2017","",-2,2,-6,4,0,-16,14,"78%","78%","0%"
"D-backs","109","2016","",-6,12,-15,-2,-1,4,-11,"77%","77%","0%"
"D-backs","109","2021","",-14,0,-5,-6,-3,-6,-8,"78%","78%","0%"
"Dodgers","119","2025","",12,6,-2,10,0,5,7,"79%","79%","0%"
"Dodgers","119","2020","",11,-6,11,0,6,7,4,"80%","79%","1%"
"Dodgers","119","2022","",6,-1,4,5,-2,3,3,"80%","80%","0%"
"Dodgers","119","2019","",4,4,3,-2,-2,5,-1,"79%","79%","0%"
"Dodgers","119","2024","",-2,-1,1,-8,5,-12,10,"80%","80%","0%"
"Dodgers","119","2023","",-4,-4,4,-2,0,-24,20,"79%","79%","0%"
"Dodgers","119","2016","",-12,-12,7,-3,-4,1,-13,"78%","79%","-1%"
"Dodgers","119","2018","",-14,-5,3,-5,-8,-7,-7,"79%","80%","-1%"
"Dodgers","119","2021","",-16,-2,-9,-5,0,-15,-1,"79%","80%","-1%"
"Dodgers","119","2017","",-18,-7,-9,0,-3,-6,-12,"80%","81%","-1%"
"Giants","137","2021","",30,15,16,1,-1,21,8,"79%","78%","1%"
"Giants","137","2023","",17,14,4,-2,1,6,11,"77%","77%","0%"
"Giants","137","2019","",15,6,11,6,-7,23,-8,"79%","78%","1%"
"Giants","137","2016","",14,4,11,-1,0,15,-2,"79%","78%","1%"
"Giants","137","2020","",0,2,-2,2,-2,-5,6,"79%","79%","0%"
"Giants","137","2018","",-4,-1,0,-3,2,7,-11,"79%","79%","0%"
"Giants","137","2024","",-7,13,-9,-3,-8,-11,4,"76%","76%","0%"
"Giants","137","2017","",-13,4,4,-18,-4,-14,1,"78%","78%","0%"
"Giants","137","2025","",-23,2,-4,-22,0,-8,-15,"77%","78%","-1%"
"Giants","137","2022","",-34,-4,-5,-17,-9,-13,-21,"76%","77%","-1%"
"Guardians","114","2019","",33,14,5,12,3,16,17,"79%","78%","1%"
"Guardians","114","2017","",31,9,5,11,5,18,13,"79%","78%","1%"
"Guardians","114","2022","",23,5,19,-1,0,19,4,"80%","79%","1%"
"Guardians","114","2016","",21,13,1,10,-4,11,10,"79%","78%","1%"
"Guardians","114","2021","",19,5,7,8,-2,13,6,"79%","79%","0%"
"Guardians","114","2023","",12,-7,12,5,3,3,9,"79%","79%","0%"
"Guardians","114","2024","",12,2,10,3,-4,0,12,"79%","79%","0%"
"Guardians","114","2020","",4,7,1,1,-4,-4,8,"79%","78%","1%"
"Guardians","114","2025","",-1,9,-7,-6,4,-19,18,"79%","79%","0%"
"Guardians","114","2018","",-7,1,-3,0,-4,4,-11,"78%","78%","0%"
"Mariners","136","2023","",22,15,-7,10,4,22,1,"79%","78%","1%"
"Mariners","136","2017","",20,-1,23,-4,2,16,4,"80%","79%","1%"
"Mariners","136","2016","",4,-7,5,9,-1,0,5,"77%","77%","0%"
"Mariners","136","2020","",1,7,-1,-7,3,6,-5,"80%","80%","0%"
"Mariners","136","2022","",1,-2,8,-8,3,-4,5,"80%","80%","0%"
"Mariners","136","2021","",-5,3,-1,-10,2,-10,5,"78%","78%","0%"
"Mariners","136","2018","",-10,4,-2,-6,-7,-6,-4,"79%","79%","0%"
"Mariners","136","2024","",-16,-6,-12,-2,4,9,-25,"80%","81%","-1%"
"Mariners","136","2019","",-23,6,-18,-3,-8,-8,-14,"78%","78%","0%"
"Mariners","136","2025","",-27,-7,-21,-2,3,-22,-5,"79%","80%","-1%"
"Marlins","146","2018","",26,19,24,-13,-4,17,9,"80%","79%","1%"
"Marlins","146","2016","",17,21,-5,-4,6,13,4,"77%","76%","1%"
"Marlins","146","2025","",17,-3,2,12,5,5,12,"80%","79%","1%"
"Marlins","146","2022","",3,5,2,5,-8,0,4,"79%","79%","0%"
"Marlins","146","2021","",-8,0,-5,-7,4,0,-8,"78%","78%","0%"
"Marlins","146","2017","",-9,5,-17,2,0,-6,-3,"79%","79%","0%"
"Marlins","146","2020","",-11,3,-11,-4,2,-4,-8,"78%","79%","-1%"
"Marlins","146","2019","",-11,-4,10,-17,0,-9,-2,"78%","79%","-1%"
"Marlins","146","2023","",-34,-11,-9,-11,-3,-15,-19,"77%","78%","-1%"
"Marlins","146","2024","",-37,-24,-10,-1,-3,-23,-15,"77%","78%","-1%"
"Mets","121","2021","",26,7,7,8,5,10,16,"79%","78%","1%"
"Mets","121","2022","",10,11,-4,-3,7,15,-5,"78%","77%","1%"
"Mets","121","2024","",4,-4,9,0,-2,9,-6,"79%","79%","0%"
"Mets","121","2020","",-4,9,-1,-11,0,3,-7,"75%","76%","-1%"
"Mets","121","2025","",-13,3,-18,5,-3,-11,-2,"77%","77%","0%"
"Mets","121","2018","",-14,-7,4,0,-11,-23,8,"78%","78%","0%"
"Mets","121","2023","",-14,-5,-8,-4,4,-10,-3,"78%","79%","-1%"
"Mets","121","2019","",-18,0,-11,1,-7,-3,-15,"77%","77%","0%"
"Mets","121","2016","",-33,7,-19,-24,4,-5,-28,"75%","77%","-2%"
"Mets","121","2017","",-53,-6,-14,-26,-7,-29,-24,"76%","78%","-2%"
"Nationals","120","2019","",29,7,18,-1,5,22,7,"78%","78%","0%"
"Nationals","120","2018","",-1,-6,7,3,-5,0,0,"79%","79%","0%"
"Nationals","120","2023","",-2,6,-3,-5,1,2,-3,"78%","78%","0%"
"Nationals","120","2016","",-5,5,0,-10,-1,3,-8,"78%","78%","0%"
"Nationals","120","2020","",-13,-4,-2,-7,2,-7,-5,"76%","77%","-1%"
"Nationals","120","2017","",-14,6,-14,1,-7,-5,-10,"78%","79%","-1%"
"Nationals","120","2024","",-19,-3,-14,4,-8,-12,-7,"77%","78%","-1%"
"Nationals","120","2021","",-24,4,-4,-18,-7,-28,3,"78%","79%","-1%"
"Nationals","120","2025","",-33,-12,-10,-7,-4,-20,-13,"76%","77%","-1%"
"Nationals","120","2022","",-51,-10,-20,-20,0,-30,-21,"78%","79%","-1%"
"Orioles","110","2022","",7,-7,1,9,5,-3,10,"78%","78%","0%"
"Orioles","110","2016","",5,25,-18,-1,-1,15,-10,"78%","78%","0%"
"Orioles","110","2020","",-9,-3,3,-5,-4,-14,5,"79%","80%","-1%"
"Orioles","110","2024","",-11,-9,-4,-4,8,-17,6,"79%","79%","0%"
"Orioles","110","2023","",-12,3,-18,3,0,-7,-5,"79%","79%","0%"
"Orioles","110","2025","",-23,6,-19,-8,-3,-10,-14,"77%","78%","-1%"
"Orioles","110","2017","",-26,0,-12,-12,-1,-11,-15,"77%","78%","-1%"
"Orioles","110","2021","",-30,-7,-14,-10,1,-16,-14,"77%","78%","-1%"
"Orioles","110","2019","",-33,-24,-1,-10,1,-37,3,"78%","79%","-1%"
"Orioles","110","2018","",-43,-4,-15,-23,-1,-17,-26,"77%","78%","-1%"
"Padres","135","2022","",33,12,8,6,6,19,14,"80%","79%","1%"
"Padres","135","2023","",27,19,1,3,3,28,-1,"79%","78%","1%"
"Padres","135","2020","",20,9,2,7,1,9,11,"79%","77%","2%"
"Padres","135","2021","",10,7,4,-6,5,5,5,"79%","79%","0%"
"Padres","135","2018","",9,-4,3,8,2,27,-18,"79%","78%","1%"
"Padres","135","2024","",6,10,-1,-7,3,-1,7,"79%","78%","1%"
"Padres","135","2025","",-7,5,-9,-4,2,-7,0,"80%","80%","0%"
"Padres","135","2019","",-28,-13,4,-13,-5,-17,-11,"77%","78%","-1%"
"Padres","135","2017","",-29,-11,-16,0,-2,-23,-7,"77%","78%","-1%"
"Padres","135","2016","",-31,-2,-10,-15,-5,-31,-1,"76%","77%","-1%"
"Phillies","143","2025","",12,1,-1,10,1,7,4,"78%","77%","1%"
"Phillies","143","2024","",7,-10,5,8,5,-8,15,"78%","77%","1%"
"Phillies","143","2023","",6,2,-9,18,-4,9,-3,"78%","78%","0%"
"Phillies","143","2017","",3,9,-5,7,-8,-3,5,"78%","78%","0%"
"Phillies","143","2016","",-3,-6,13,-9,-2,10,-13,"78%","78%","0%"
"Phillies","143","2019","",-3,-1,2,-8,3,6,-9,"77%","77%","0%"
"Phillies","143","2020","",-19,-1,-4,-10,-3,-13,-6,"75%","76%","-1%"
"Phillies","143","2021","",-22,-2,-4,-13,-2,-19,-3,"77%","78%","-1%"
"Phillies","143","2022","",-33,-5,-13,-11,-4,-18,-16,"77%","78%","-1%"
"Phillies","143","2018","",-35,-7,-18,-4,-6,-19,-16,"78%","79%","-1%"
"Pirates","134","2025","",17,5,-3,10,6,14,3,"79%","79%","0%"
"Pirates","134","2018","",5,5,4,-6,2,6,-2,"78%","78%","0%"
"Pirates","134","2023","",2,2,2,-5,4,7,-5,"79%","79%","0%"
"Pirates","134","2020","",1,-2,0,1,2,0,1,"78%","78%","0%"
"Pirates","134","2016","",-1,11,0,-2,-10,6,-7,"76%","76%","0%"
"Pirates","134","2021","",-9,5,-8,-8,2,8,-17,"79%","79%","0%"
"Pirates","134","2024","",-15,2,-8,-10,1,-7,-8,"77%","78%","-1%"
"Pirates","134","2017","",-16,14,-15,-9,-5,7,-23,"77%","78%","-1%"
"Pirates","134","2022","",-22,-4,3,-14,-6,2,-23,"77%","78%","-1%"
"Pirates","134","2019","",-27,-10,-12,1,-7,-17,-10,"76%","77%","-1%"
"Rangers","140","2023","",32,17,4,13,-2,19,14,"80%","79%","1%"
"Rangers","140","2025","",27,2,14,11,1,1,26,"80%","80%","0%"
"Rangers","140","2021","",27,-6,13,17,3,15,12,"79%","79%","0%"
"Rangers","140","2024","",26,17,1,9,0,9,17,"79%","78%","1%"
"Rangers","140","2016","",19,19,2,-3,2,23,-5,"78%","78%","0%"
"Rangers","140","2018","",11,-3,2,10,2,3,8,"79%","78%","1%"
"Rangers","140","2017","",3,5,-7,3,2,11,-8,"79%","79%","0%"
"Rangers","140","2022","",-4,4,-3,-5,0,-5,1,"78%","78%","0%"
"Rangers","140","2020","",-7,-1,-2,-7,3,-3,-4,"78%","79%","-1%"
"Rangers","140","2019","",-9,-3,5,-9,-2,-10,2,"76%","76%","0%"
"Rays","139","2021","",27,4,7,17,-1,7,20,"80%","79%","1%"
"Rays","139","2017","",13,4,-9,13,5,10,3,"80%","80%","0%"
"Rays","139","2024","",5,2,-5,6,2,3,2,"80%","80%","0%"
"Rays","139","2019","",5,-3,-5,16,-3,-1,6,"79%","79%","0%"
"Rays","139","2020","",4,5,-2,-1,1,6,-2,"77%","77%","0%"
"Rays","139","2022","",0,-2,-4,3,2,-4,5,"80%","80%","0%"
"Rays","139","2018","",-1,-8,-7,11,4,4,-6,"80%","80%","0%"
"Rays","139","2023","",-4,3,-7,5,-5,6,-10,"78%","78%","0%"
"Rays","139","2016","",-22,-5,-19,0,2,-12,-9,"78%","78%","0%"
"Rays","139","2025","",-29,-5,-17,-3,-5,-14,-15,"79%","80%","-1%"
"Red Sox","111","2018","",10,17,-3,2,-6,0,9,"79%","79%","0%"
"Red Sox","111","2025","",9,0,-1,8,3,17,-8,"78%","78%","0%"
"Red Sox","111","2019","",6,9,4,-6,-1,7,0,"78%","78%","0%"
"Red Sox","111","2017","",3,-2,-10,14,1,9,-5,"78%","78%","0%"
"Red Sox","111","2020","",-5,0,3,-6,-1,-6,1,"74%","75%","-1%"
"Red Sox","111","2016","",-7,-15,1,1,5,-6,-1,"78%","78%","0%"
