Gcar,Gtm,Date,Team,Home,Opp,Result,Series,Inngs,Dec,DR,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA,FIP,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,IR,IS,SB,CS,PO,AB,2B,3B,GIDP,SF,ROE,BAbip,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Id,GmSc,DFS(DK),DFS(FD)
7,4,2016-10-11,WSN,@,LAD,"L, 5-6",NLDS G4,3-5,,0,1.1,0,0,0,0,0,0,2,1,0,0,5,0.00,1.86,16,12,3,3,1,1,0,0,0,3,0,0,0,0,4,0,0,0,0,0,.000,0.76,0.1,14.71,0.9%,1.24,3b 123 2 out d2,4b 3 out d2,perezol01,,,
8,5,2016-10-13,WSN,,LAD,"L, 3-4",NLDS G5,7-8,,1,1.0,0,0,0,0,1,0,0,0,0,0,4,0.00,3.15,14,8,2,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,.000,0.86,0.0,35.73,0.9%,0.55,7t --3 2 out d3,8t -2- 2 out d1,perezol01,,,
9,2,2017-10-07,WSN,,CHC,"W, 6-3",NLDS G2,8-8,W(1-0),5,0.2,0,0,0,0,0,0,0,0,0,0,1,0.00,3.16,2,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,.000,0.70,0.0,10.70,0.3%,0.56,8t 1-- 1 out d2,8t 3 out d2,perezol01,,,
10,3,2017-10-09,WSN,@,CHC,"L, 1-2",NLDS G3,8-GF,,1,0.1,1,0,0,0,0,0,0,0,0,0,1,0.00,3.16,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1.000,2.82,-0.2,59.04,-2.9%,-0.66,8b -2- 2 out tie,8b 3 out d1,perezol01,,,
11,1,2020-09-29,CLE,,NYY,"L, 3-12",ALWC G1,9-GF,,1,0.1,1,0,0,0,0,0,0,0,0,0,2,0.00,3.19,5,4,2,0,0,2,1,1,0,1,0,0,0,0,2,0,0,0,0,0,.500,0.00,0.0,0.00,0.0%,0.24,9t 1-- 2 out d10,9t 3 out d10,perezol01,,,
,,,,,,5-6,,,"W-L:2-0,Hld:3",,16.2,18,7,7,3,5,1,10,2,0,0,71,3.78,5.37,245,162,48,19,20,34,9,7,0,10,2,1,0,0,61,1,1,3,0,2,.313,1.15,-0.1,59.04,8.0%,0.99,,,perezol01,48,,
1,2,2016-10-09,LAD,@,WSN,"L, 2-5",NLDS G2,8-GF,,10,1.0,0,0,0,0,0,0,2,0,0,0,3,0.00,-0.85,15,9,3,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,.000,0.08,0.0,1.27,0.1%,0.51,8b --- 0 out d3,8b 3 out d3,stripro01,,,
2,3,2016-10-10,LAD,,WSN,"L, 3-8",NLDS G3,9-GF,,0,0.2,0,0,0,0,0,0,0,0,0,0,2,0.00,0.75,9,5,3,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,.000,0.01,0.0,0.21,0.0%,-0.07,9t --3 1 out d4,9t 3 out d5,stripro01,,,
3,6,2016-10-15,LAD,@,CHC,"L, 4-8",NLCS G1,7-8,,4,1.0,0,0,0,0,0,0,0,0,0,0,3,0.00,1.65,10,6,3,0,1,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,.000,0.31,0.0,8.10,0.3%,0.50,7b --- 0 out d2,7b 3 out d2,stripro01,,,
4,9,2016-10-19,LAD,,CHC,"L, 2-10",NLCS G4,6-6,,3,0.1,4,5,4,0,1,0,0,0,0,0,6,12.00,2.81,20,10,2,0,2,3,2,1,0,0,0,0,0,0,5,0,0,0,0,0,.800,0.56,-0.1,17.88,-2.2%,-3.41,6t --- 0 out d3,6t 12- 1 out d6,stripro01,,,
5,10,2016-10-20,LAD,,CHC,"L, 4-8",NLCS G5,8-GF,,0,1.1,2,0,0,0,0,0,0,0,0,0,5,8.31,2.92,18,11,1,1,2,3,2,1,0,3,3,0,0,0,5,1,0,1,0,0,.400,0.09,0.0,3.65,-0.7%,-1.76,8t 123 2 out d4,9t 3 out d6,stripro01,,,
6,6,2017-10-17,LAD,@,CHC,"W, 6-1",NLCS G3,9-9,,15,0.0,2,0,0,0,0,0,0,0,0,0,2,,,10,7,3,1,0,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,1.000,0.35,0.0,7.19,-0.5%,-1.50,9b --- 0 out a5,9b -23 0 out a5,stripro01,,,
7,7,2017-10-18,LAD,@,CHC,"L, 2-3",NLCS G4,5-6,,0,1.0,0,0,0,0,0,0,1,0,0,0,3,0.00,1.16,9,7,0,2,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,.000,0.50,0.0,4.82,0.2%,0.66,5b 1-- 2 out d2,6b --- 2 out d2,stripro01,,,
8,10,2017-10-25,LAD,,HOU,"L, 6-7 (11)",WS G2,7-7,,6,0.0,0,0,0,0,1,0,0,0,0,0,1,0.00,1.16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.34,-0.1,70.92,-1.8%,-0.38,7t --- 0 out a2,7t 1-- 0 out a2,stripro01,,,
