Gcar,Gtm,Date,Team,Home,Opp,Result,Series,Inngs,Dec,DR,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA,FIP,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,IR,IS,SB,CS,PO,AB,2B,3B,GIDP,SF,ROE,BAbip,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Id,GmSc,DFS(DK),DFS(FD)
2.0,5.0,2021-10-14,SFG,,LAD,"L, 1-2",NLDS G5,GS-7,,5.0,7.0,4,1,1,0,1,0,7,0,0,0,25,0.61,1.06,106,70,14,10,9,8,6,0,0,,,1,0,0,24,1,0,1,0,0,0.235,1.16,0.3,48.45,5.7%,2.51,1t --- 0 out tie,7t 3 out tie,webblo01,71,,
,,,,,,1-1,,,W-L:1-0,,14.2,9,1,1,0,1,0,17,0,0,0,53,0.61,1.06,198,134,32,29,21,14,10,0,0,,,1,0,0,52,3,0,2,0,1,0.257,1.11,0.7,16.7,9.5%,6.29,,,webblo01,75,,
1.0,1.0,2018-10-02,CHC,,COL,"L, 1-2 (13)",NLWC G1,8-8,,0.0,0.2,0,0,0,0,0,0,0,0,0,0,1,0.0,3.16,2,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.0,1.19,0.1,24.79,0.7%,0.53,8t 1-- 1 out d1,8t 3 out d1,cishest01,,,
,,,,,,0-1,,,W-L:0-0,,0.2,0,0,0,0,0,0,0,0,0,0,1,0.0,3.16,2,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.0,1.19,0.1,24.79,0.7%,0.53,,,cishest01,,,
1.0,3.0,2023-10-10,BAL,@,TEX,"L, 1-7",ALDS G3,GS-2,L(0-1),11.0,1.2,7,6,6,2,1,1,0,0,0,0,13,32.4,20.66,53,37,8,5,2,10,4,3,0,,,0,0,0,12,2,0,0,0,0,0.5,0.99,-0.3,10.31,-2.0%,-5.08,1b --- 0 out tie,2b --- 2 out d6,kremede01,16,,
,,,,,,0-1,,,W-L:0-1,,1.2,7,6,6,2,1,1,0,0,0,0,13,32.4,20.66,53,37,8,5,2,10,4,3,0,,,0,0,0,12,2,0,0,0,0,0.5,0.99,-0.3,10.31,-2.0%,-5.08,,,kremede01,16,,
1,3,2002-10-04,ANA,,NYY,"W, 9-6",ALDS G3,3-6,,7,3.0,3,0,0,0,1,0,3,0,0,0,13,0.00,1.96,50,28,9,4,4,2,1,1,3,2,2,0,0,0,12,0,0,0,0,0,.333,0.65,0.0,13.70,-0.1%,-0.18,3t 1-3 2 out d3,6t -2- 2 out d2,lackejo01,,,
2,8,2002-10-12,ANA,,MIN,"W, 7-1",ALCS G4,GS-7,W(1-0),7,7.0,3,0,0,0,0,0,7,0,0,0,23,0.00,1.26,79,55,11,15,10,4,1,2,2,,,0,1,0,23,0,0,0,0,0,.188,0.93,0.5,29.76,8.2%,3.81,1t --- 0 out tie,7t 3 out tie,lackejo01,78,,
3,11,2002-10-20,ANA,,SFG,"W, 11-10",WS G2,3-5,,7,2.1,2,2,2,0,1,1,1,0,0,0,9,1.46,1.66,32,20,5,0,2,4,1,1,1,1,0,1,0,0,8,1,0,0,0,0,.286,1.30,0.1,66.63,2.9%,1.07,3t 1-- 0 out a2,5t 12- 1 out a2,lackejo01,,,
4,13,2002-10-23,ANA,@,SFG,"L, 3-4",WS G4,GS-6,,2,5.0,9,3,3,0,3,3,2,0,0,0,25,2.60,2.33,95,54,8,7,9,5,1,0,6,,,0,0,0,21,1,0,2,1,0,.450,1.67,-0.1,102.10,-5.3%,-0.65,1b --- 0 out tie,5b 3 out tie,lackejo01,36,,
5,16,2002-10-27,ANA,,SFG,"W, 4-1",WS G7,GS-5,W(2-0),3,5.0,4,1,1,0,1,0,4,0,0,0,20,2.42,2.25,86,56,11,9,5,9,3,0,1,,,0,0,0,18,0,0,0,1,0,.267,0.93,0.2,154.08,13.4%,1.72,1t --- 0 out tie,5t 3 out a3,lackejo01,58,,
6,2,2005-10-05,LAA,,NYY,"W, 5-3",ALDS G2,GS-6,,4,5.2,5,2,2,0,5,0,3,0,0,1,27,3.18,4.61,98,56,16,5,12,7,6,0,0,,,1,0,0,22,4,0,0,0,0,.263,1.04,0.0,15.79,0.1%,0.60,1t --- 0 out tie,6t 1-3 2 out d1,lackejo01,49,,
7,4,2005-10-09,LAA,@,NYY,"L, 2-3",ALDS G4,GS-6,,3,5.2,2,1,1,0,4,0,6,0,0,1,22,2.38,3.81,78,48,15,10,7,5,2,1,0,,,0,0,0,17,1,0,1,0,0,.182,1.12,0.2,21.28,1.9%,1.87,1b --- 0 out tie,6b 1-- 2 out a1,lackejo01,63,,
8,8,2005-10-14,LAA,,CHW,"L, 2-5",ALCS G3,GS-5,L(0-1),4,5.0,8,5,5,1,1,0,3,0,0,0,23,4.41,4.18,83,55,11,4,7,12,7,1,0,,,0,0,0,21,2,0,0,0,0,.412,0.61,-0.3,19.01,-5.1%,-2.41,1t --- 0 out tie,5t 3 out d5,lackejo01,33,,
9,1,2007-10-03,LAA,@,BOS,"L, 0-4",ALDS G1,GS-7,L(0-1),4,6.0,9,4,4,2,2,0,4,0,0,1,25,6.00,7.24,99,60,23,5,9,10,5,3,0,,,0,1,0,23,1,0,3,0,0,.412,0.60,-0.1,9.44,-1.2%,-0.50,1b --- 0 out tie,6b 3 out d4,lackejo01,40,,
10,1,2008-10-01,LAA,,BOS,"L, 1-4",ALDS G1,GS-7,L(0-1),4,6.2,4,2,2,1,3,0,5,1,0,0,29,2.70,5.38,92,60,21,6,9,11,3,2,0,,,1,0,0,25,1,0,0,0,1,.158,1.14,0.0,17.97,0.3%,1.29,1t --- 0 out tie,7t 1-3 2 out d1,lackejo01,60,,
11,4,2008-10-06,LAA,@,BOS,"L, 2-3",ALDS G4,GS-8,,4,7.0,7,2,2,0,1,0,1,0,0,0,28,2.63,4.30,96,56,17,3,15,11,4,1,0,,,0,0,0,27,1,0,2,0,0,.269,1.03,0.1,23.34,1.2%,2.00,1b --- 0 out tie,7b 3 out d2,lackejo01,55,,
12,1,2009-10-08,LAA,,BOS,"W, 5-0",ALDS G1,GS-8,W(1-0),6,7.1,4,0,0,0,1,0,4,0,0,1,27,0.00,2.42,114,67,23,4,10,11,5,1,0,,,0,0,0,25,0,0,1,0,0,.190,0.81,0.4,12.69,3.3%,3.59,1t --- 0 out tie,8t -2- 1 out a5,lackejo01,73,,
13,4,2009-10-16,LAA,@,NYY,"L, 1-4",ALCS G1,GS-6,L(1-1),7,5.2,9,4,2,0,3,0,3,0,0,0,28,1.38,2.94,114,65,21,8,6,16,4,2,0,,,0,0,0,24,2,0,0,1,0,.409,0.83,-0.1,21.67,-1.9%,-0.94,1b --- 0 out tie,6b -2- 2 out d3,lackejo01,39,,
14,8,2009-10-22,LAA,,NYY,"W, 7-6",ALCS G5,GS-7,,5,6.2,6,3,3,0,3,0,7,0,0,0,29,2.29,2.74,104,62,23,6,9,10,1,1,0,,,0,0,0,26,2,0,0,0,0,.316,0.88,0.2,15.49,2.0%,2.96,1t --- 0 out tie,7t 123 2 out a4,lackejo01,54,,
15,2,2013-10-05,BOS,,TBR,"W, 7-4",ALDS G2,GS-6,W(1-0),10,5.1,7,4,4,0,3,0,6,1,0,0,26,6.75,3.05,95,62,13,13,7,8,6,1,1,,,1,0,0,21,2,0,1,1,0,.438,1.20,-0.1,19.24,-0.6%,-1.53,1t --- 0 out tie,6t 1-- 1 out a2,lackejo01,41,,
16,7,2013-10-15,BOS,@,DET,"W, 1-0",ALCS G3,GS-7,W(2-0),9,6.2,4,0,0,0,0,0,8,0,0,0,24,3.00,1.71,97,66,15,14,6,10,6,1,0,,,0,0,0,24,1,0,0,0,0,.250,1.13,0.4,35.59,7.3%,3.29,1b --- 0 out tie,7b 1-- 2 out a1,lackejo01,74,,
17,12,2013-10-24,BOS,,STL,"L, 2-4",WS G2,GS-7,L(2-1),8,6.1,5,3,3,0,2,0,6,0,0,0,26,3.44,1.85,95,71,14,10,9,9,4,0,0,,,0,0,0,24,0,1,0,0,0,.278,1.00,0.1,52.94,3.4%,1.58,1t --- 0 out tie,7t 12- 1 out a1,lackejo01,55,,
18,14,2013-10-27,BOS,@,STL,"W, 4-2",WS G4,8-9,H(1),2,1.0,0,0,0,0,0,0,0,0,0,1,4,3.26,1.91,17,9,4,0,3,1,0,1,0,0,0,0,0,0,4,0,0,0,0,1,.000,1.85,0.1,118.67,3.3%,0.45,8b --- 0 out a2,8b 3 out a2,lackejo01,,,
19,16,2013-10-30,BOS,,STL,"W, 6-1",WS G6,GS-7,W(3-1),2,6.2,9,1,1,0,1,0,5,0,0,2,30,2.77,1.93,105,76,23,9,12,12,7,0,0,,,0,0,0,29,1,0,1,0,1,.375,0.83,0.2,63.52,8.4%,1.72,1t --- 0 out tie,7t 123 2 out a5,lackejo01,56,,
20,3,2014-10-06,STL,,LAD,"W, 3-1",NLDS G3,GS-7,W(1-0),11,7.0,5,1,1,0,1,0,8,0,0,0,27,1.29,1.27,100,68,19,11,6,12,6,0,0,,,1,0,0,25,1,1,0,0,0,.294,1.30,0.3,27.21,2.9%,2.09,1t --- 0 out tie,7t 3 out tie,lackejo01,70,,
21,7,2014-10-14,STL,@,SFG,"L, 4-5 (10)",NLCS G3,GS-7,,7,6.0,5,4,4,0,1,1,3,1,0,0,25,3.46,2.13,79,58,18,5,5,15,9,2,0,,,0,0,0,23,2,0,0,0,0,.250,0.60,-0.2,18.83,-3.5%,-1.48,1b --- 0 out tie,6b 3 out d1,lackejo01,48,,
22,1,2015-10-09,STL,,CHC,"W, 4-0",NLDS G1,GS-8,W(1-0),4,7.1,2,0,0,0,1,0,5,0,0,0,23,0.00,2.18,86,56,16,6,10,7,2,4,0,,,1,0,0,22,0,0,2,0,0,.118,1.32,0.5,20.66,4.4%,3.50,1t --- 0 out tie,8t --- 1 out a1,lackejo01,78,,
23,4,2015-10-13,STL,@,CHC,"L, 4-6",NLDS G4,GS-4,,3,3.0,4,4,4,1,1,0,5,0,0,0,13,3.48,3.04,49,31,3,11,4,3,1,0,0,,,0,0,0,12,0,0,1,0,0,.500,1.08,-0.3,24.01,-4.3%,-2.63,1b --- 0 out a2,3b 3 out d2,lackejo01,39,,
24,4,2016-10-11,CHC,@,SFG,"W, 6-5",NLDS G4,GS-5,,13,4.0,7,3,3,0,2,0,4,0,0,0,20,6.75,2.65,74,42,9,8,8,6,3,0,0,,,0,1,0,17,1,0,0,1,0,.500,1.28,-0.2,24.80,-1.8%,-1.10,1b --- 0 out tie,4b 3 out d2,lackejo01,38,,
25,8,2016-10-19,CHC,@,LAD,"W, 10-2",NLCS G4,GS-5,,7,4.0,3,2,2,0,3,0,3,1,0,0,18,5.63,3.65,72,41,14,6,3,7,2,0,0,,,0,0,0,13,0,0,0,0,0,.300,0.90,0.1,28.86,2.2%,0.94,1b --- 0 out tie,5b 12- 0 out a5,lackejo01,48,,
26,14,2016-10-29,CHC,,CLE,"L, 2-7",WS G4,GS-5,L(0-1),9,5.0,4,3,2,1,1,1,5,0,0,0,20,4.85,3.92,84,52,11,6,10,4,2,0,0,,,0,0,0,19,1,0,1,0,1,.231,0.87,-0.1,53.23,-3.7%,-0.50,1t --- 0 out tie,5t 3 out d2,lackejo01,53,,
27,6,2017-10-14,CHC,@,LAD,"L, 2-5",NLCS G1,7-GF,,12,1.2,1,0,0,0,1,0,1,0,0,1,6,0.00,3.76,27,15,6,2,3,1,0,0,0,2,1,0,0,0,5,0,0,1,0,0,.250,0.37,0.0,9.74,-0.3%,0.40,7b 12- 1 out d2,8b 3 out d3,lackejo01,,,
28,7,2017-10-15,CHC,@,LAD,"L, 1-4",NLCS G2,9-GF,,0,0.0,1,2,2,1,1,0,0,0,0,0,2,10.80,3.76,8,3,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,,4.09,-0.4,108.23,-5.8%,-2.78,9b -2- 2 out tie,9b --- 2 out d3,lackejo01,,,
29,10,2017-10-19,CHC,,LAD,"L, 1-11",NLCS G5,4-5,,3,2.0,3,2,2,0,0,0,2,0,0,2,9,9.82,2.34,35,26,6,5,4,3,2,1,0,0,0,0,0,0,9,1,0,0,0,0,.429,0.17,0.0,3.06,-0.2%,-0.94,4t --- 0 out d7,5t 3 out d8,lackejo01,,,
,,,,,,15-14,,,"W-L:8-6,Hld:1",,144.0,135,58,55,7,47,6,114,4,0,10,601,3.44,3.08,2243,1418,386,193,204,216,94,26,14,6,4,6,3,0,540,26,2,16,5,4,.302,0.99,1.4,13.70,31.2%,17.24,,,lackejo01,54,,
1,1,2015-10-08,TOR,,TEX,"L, 3-5",ALDS G1,9-GF,,3,1.0,0,0,0,0,0,0,1,0,0,0,3,0.00,1.13,16,9,3,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,.000,0.23,0.0,3.56,0.2%,0.50,9t --- 0 out d2,9t 3 out d2,sanchaa01,,,
2,2,2015-10-09,TOR,,TEX,"L, 4-6 (14)",ALDS G2,12-13,,0,1.2,1,0,0,0,0,0,2,0,0,0,6,0.00,0.88,28,17,6,2,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,.250,1.81,0.2,27.69,1.8%,0.77,12t --- 1 out tie,13t 3 out tie,sanchaa01,,,
3,3,2015-10-11,TOR,@,TEX,"W, 5-1",ALDS G3,8-9,,1,1.0,0,0,0,0,0,0,1,0,0,0,3,0.00,0.95,11,8,4,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,.000,0.38,0.0,3.94,0.2%,0.51,8b --- 0 out a4,8b 3 out a4,sanchaa01,,,
4,4,2015-10-12,TOR,@,TEX,"W, 8-4",ALDS G4,8-9,,0,0.1,0,0,0,0,0,0,1,0,0,0,1,0.00,0.63,4,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,0.37,0.0,8.27,0.2%,0.23,8b 1-- 2 out a4,8b 3 out a4,sanchaa01,,,
5,5,2015-10-14,TOR,,TEX,"W, 6-3",ALDS G5,7-8,W(1-0),1,1.1,2,1,0,0,1,0,1,0,0,0,7,0.00,1.45,25,14,4,1,3,2,2,0,0,0,0,0,0,0,5,0,0,0,0,0,.500,1.61,-0.2,67.14,-4.9%,-0.91,7t --- 0 out tie,8t 12- 1 out a3,sanchaa01,,,
6,7,2015-10-17,TOR,@,KCR,"L, 3-6",ALCS G2,7-8,,2,0.2,1,0,0,0,1,0,0,0,0,0,4,0.00,2.13,15,6,2,1,2,1,0,0,0,1,1,0,0,0,3,0,0,0,0,0,.333,0.48,-0.1,12.78,-1.3%,-0.70,7b -2- 2 out d1,8b 1-- 1 out d2,sanchaa01,,,
7,8,2015-10-19,TOR,,KCR,"W, 11-8",ALCS G3,7-7,,1,0.2,0,0,0,0,0,0,0,0,0,0,2,0.00,2.23,12,9,2,2,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,.000,0.19,0.0,3.96,0.1%,0.53,7t 1-- 1 out a6,7t 3 out a6,sanchaa01,,,
8,10,2015-10-21,TOR,,KCR,"W, 7-1",ALCS G5,8-8,,1,0.1,1,0,0,0,0,0,0,0,0,0,2,0.00,2.28,8,6,2,0,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,.500,0.25,0.0,4.48,0.1%,0.23,8t 1-- 2 out a5,8t 3 out a5,sanchaa01,,,
9,11,2015-10-23,TOR,@,KCR,"L, 3-4",ALCS G6,7-8,,1,0.1,2,0,0,0,0,0,0,0,0,0,3,0.00,2.32,6,5,1,1,2,1,1,0,0,1,1,0,0,0,3,0,0,0,0,0,.667,0.77,-0.1,29.63,-1.9%,-0.68,7b -2- 2 out d1,7b 3 out d2,sanchaa01,,,
10,4,2016-10-09,TOR,,TEX,"W, 7-6 (10)",ALDS G3,GS-6,,6,5.2,3,6,6,2,4,0,5,0,0,0,24,9.53,8.09,92,53,15,8,8,7,3,1,0,,,1,0,0,20,0,0,0,0,0,.077,0.94,-0.1,9.74,-0.6%,-1.34,1t --- 0 out tie,6t 12- 2 out a1,sanchaa01,40,,
11,8,2016-10-18,TOR,,CLE,"W, 5-1",ALCS G4,GS-6,W(1-0),8,6.0,2,1,1,0,2,0,5,0,0,1,22,5.40,5.20,95,54,15,7,9,6,3,2,0,,,0,0,0,19,2,0,0,0,0,.143,1.08,0.3,10.43,1.4%,2.11,1t --- 0 out tie,6t 3 out a1,sanchaa01,67,,
,,,,,,7-4,,,W-L:2-0,,19.0,12,8,7,2,8,0,16,0,0,1,77,3.32,4.09,312,184,55,24,33,20,10,3,0,5,2,1,0,0,67,2,0,0,0,0,.204,0.99,0.1,12.78,-4.7%,1.25,,,sanchaa01,54,,
1,1,2017-10-04,COL,@,ARI,"L, 8-11",NLWC G1,2-3,,2,0.2,0,0,0,0,0,0,2,0,0,0,2,0.00,-2.84,8,6,1,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,,0.57,0.0,11.88,0.5%,0.99,2b --3 1 out d4,2b 3 out d4,obergsc01,,,
2,1,2018-10-02,COL,@,CHC,"W, 2-1 (13)",NLWC G1,12-GF(14),W(1-0),0,1.1,0,0,0,0,0,0,4,0,0,0,4,0.00,-2.84,20,12,4,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,2.33,0.2,48.54,3.1%,0.61,12b --- 2 out tie,13b 3 out a1,obergsc01,,,
3,2,2018-10-04,COL,@,MIL,"L, 2-3 (10)",NLDS G1,8-9,,1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.00,-1.64,2,2,1,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,.000,0.72,0.0,11.28,0.2%,0.77,8b 123 2 out d2,8b 3 out d2,obergsc01,,,
4,3,2018-10-05,COL,@,MIL,"L, 0-4",NLDS G2,7-8,,0,1.0,2,0,0,0,0,0,3,0,0,0,5,0.00,-2.09,24,16,1,6,0,2,2,0,0,0,0,0,0,0,5,1,0,0,0,0,1.000,1.16,0.0,18.50,0.4%,0.49,7b --- 0 out d1,7b 3 out d1,obergsc01,,,
5,4,2018-10-07,COL,,MIL,"L, 0-6",NLDS G3,6-6,,1,1.0,2,2,2,0,0,0,3,0,1,1,5,4.91,-2.29,18,13,5,4,0,2,2,0,0,0,0,0,0,0,5,1,0,0,0,0,1.000,0.84,-0.1,8.75,-0.8%,-1.43,6t --- 0 out d2,6t 3 out d4,obergsc01,,,
,,,,,,1-4,,,W-L:1-0,,4.1,4,2,2,0,0,0,12,0,1,1,17,4.15,-2.38,72,49,12,20,1,4,4,0,0,4,0,0,0,0,17,2,0,0,0,0,.800,1.20,0.2,11.88,3.3%,1.42,,,obergsc01,,,
1,1,2016-10-07,LAD,@,WSN,"W, 4-3",NLDS G1,6-7,H(1),4,0.2,0,0,0,0,1,0,1,0,0,0,3,0.00,4.65,16,9,2,2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,.000,1.61,0.0,25.18,0.4%,0.21,6b 1-- 2 out a1,7b 1-- 1 out a1,daytogr01,,,
2,2,2016-10-09,LAD,@,WSN,"L, 2-5",NLDS G2,7-8,,1,0.2,2,1,1,0,0,0,2,0,0,0,4,6.75,0.90,18,11,4,3,0,2,2,0,0,0,0,0,0,0,4,1,0,0,0,0,1.000,0.35,-0.1,5.28,-0.5%,-0.73,7b --- 1 out d2,7b 3 out d3,daytogr01,,,
3,3,2016-10-10,LAD,,WSN,"L, 3-8",NLDS G3,6-6,,0,0.1,1,0,0,0,0,0,1,0,0,0,2,5.40,0.15,14,9,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.000,1.24,0.0,25.95,0.0%,-0.03,6t --- 0 out d1,6t 1-- 1 out d1,daytogr01,,,
4,5,2016-10-13,LAD,@,WSN,"W, 4-3",NLDS G5,7-7,,2,0.0,2,2,2,1,1,0,0,0,0,0,3,16.20,0.15,13,7,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.000,1.65,-0.3,68.89,-8.4%,-2.39,7b --- 0 out a3,7b 1-- 0 out a1,daytogr01,,,
5,6,2016-10-15,LAD,@,CHC,"L, 4-8",NLCS G1,8-GF,,1,0.1,0,0,0,0,0,0,0,0,0,0,1,13.50,0.65,3,3,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,.000,0.04,0.0,1.04,0.0%,0.32,8b -2- 2 out d5,8b 3 out d5,daytogr01,,,
6,8,2016-10-18,LAD,,CHC,"W, 6-0",NLCS G3,8-8,,2,0.2,1,0,0,0,0,0,1,0,0,0,3,10.13,0.52,16,11,2,1,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,.500,0.28,0.0,8.67,0.2%,0.17,8t --- 0 out a4,8t -2- 2 out a4,daytogr01,,,
7,10,2016-10-20,LAD,,CHC,"L, 4-8",NLCS G5,5-5,,1,0.2,0,0,0,0,0,0,1,0,0,0,2,8.10,0.45,12,6,2,2,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,.000,1.65,0.1,68.43,2.2%,0.66,5t -2- 1 out tie,5t 3 out tie,daytogr01,,,
8,8,2020-10-14,ATL,,LAD,"L, 3-15",NLCS G3,1-3,,17,2.0,8,8,8,3,1,0,2,1,0,0,16,36.00,23.69,62,36,12,5,4,8,2,1,0,1,1,0,0,0,14,1,0,0,0,0,.556,0.09,-0.1,1.91,-1.1%,-8.16,1t 1-- 2 out d6,3t 12- 2 out d15,daytogr01,,,
,,,,,,3-5,,,"W-L:0-0,Hld:1",,5.1,14,11,11,4,3,0,8,1,0,0,34,18.56,9.16,154,92,26,14,8,14,5,2,0,4,1,0,0,0,30,3,0,0,0,0,.556,0.57,-0.3,1.91,-7.1%,-9.94,,,daytogr01,,,
1.0,2.0,2023-10-04,TEX,@,TBR,"W, 7-1",ALWC G2,7-9,,3.0,1.1,0,0,0,0,0,0,1,0,0,0,4,0.0,1.76,14,9,2,4,2,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0.0,0.16,0.0,1.8,0.1%,0.95,7b 12- 2 out a6,8b 3 out a6,sborzjo01,,,
2.0,3.0,2023-10-07,TEX,@,BAL,"W, 3-2",ALDS G1,7-8,H(1),2.0,1.0,0,0,0,0,1,0,2,0,0,0,4,0.0,1.97,20,10,4,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,2.36,0.1,36.93,1.1%,0.49,7b --- 0 out a1,7b 3 out a1,sborzjo01,,,
3.0,4.0,2023-10-08,TEX,@,BAL,"W, 11-8",ALDS G2,8-9,,0.0,0.1,0,0,0,0,0,0,0,0,0,0,1,0.0,2.13,1,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0.0,0.51,0.0,7.81,0.2%,0.6,8b -23 2 out a5,8b 3 out a5,sborzjo01,,,
4.0,6.0,2023-10-15,TEX,@,HOU,"W, 2-0",ALCS G1,7-8,H(2),6.0,0.2,0,0,0,0,1,0,0,0,0,0,3,0.0,3.26,12,6,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,1.14,0.0,29.85,-0.6%,-0.12,7b --- 1 out a2,8b 1-- 0 out a2,sborzjo01,,,
5.0,7.0,2023-10-16,TEX,@,HOU,"W, 5-4",ALCS G2,7-8,H(3),0.0,1.0,0,0,0,0,0,0,1,0,0,0,3,0.0,2.79,15,9,3,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,1.08,0.1,27.89,1.4%,0.51,7b --- 0 out a2,7b 3 out a2,sborzjo01,,,
6.0,10.0,2023-10-20,TEX,,HOU,"L, 4-5",ALCS G5,6-7,,3.0,1.2,0,0,0,0,1,0,2,0,0,0,6,0.0,2.76,18,12,3,4,1,2,2,0,0,3,0,0,0,0,5,0,0,0,0,0,0.0,2.05,0.2,85.21,5.8%,2.1,6t 123 1 out d1,7t 3 out a2,sborzjo01,,,
7.0,11.0,2023-10-22,TEX,@,HOU,"W, 9-2",ALCS G6,7-8,H(4),1.0,1.0,1,0,0,0,1,0,1,0,0,0,4,0.0,2.97,16,9,4,1,1,1,1,0,0,1,0,0,0,0,3,0,0,1,0,0,0.5,2.43,0.0,94.67,0.6%,0.12,7b 1-- 1 out a1,8b 12- 1 out a2,sborzjo01,,,
8.0,12.0,2023-10-23,TEX,@,HOU,"W, 11-4",ALCS G7,6-7,,0.0,1.2,1,1,1,0,0,0,0,0,0,0,6,1.04,3.02,25,18,4,2,2,4,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0.167,0.05,0.0,4.44,0.4%,0.7,6b --- 0 out a8,7b -2- 2 out a8,sborzjo01,,,
9.0,15.0,2023-10-30,TEX,@,ARI,"W, 3-1",WS G3,7-8,H(5),6.0,1.0,1,0,0,0,0,0,2,0,0,0,4,0.93,2.63,16,11,2,2,1,1,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0.5,1.12,0.1,69.88,2.3%,0.53,7b --- 0 out a3,7b 3 out a3,sborzjo01,,,
10.0,17.0,2023-11-01,TEX,@,ARI,"W, 5-0",WS G5,7-GF(10),S(1),1.0,2.1,1,0,0,0,0,0,4,0,0,0,8,0.75,2.09,31,20,8,1,2,2,1,1,0,1,0,0,0,0,8,0,0,0,0,0,0.25,1.29,0.2,46.95,4.8%,1.3,7b 1-- 2 out a1,9b 3 out a5,sborzjo01,,,
,,,,,,9-1,,,"W-L:0-0,Sv:1,Hld:5",,12.0,4,1,1,0,4,0,13,0,0,0,43,0.75,2.09,168,105,31,21,13,13,7,1,0,9,0,0,0,0,39,2,0,1,0,0,0.154,1.26,0.7,69.88,16.1%,7.18,,,sborzjo01,,,
1.0,1.0,2012-10-05,BAL,@,TEX,"W, 5-1",ALWC G1,9-GF(10),,2.0,1.0,2,0,0,0,1,0,0,0,0,0,6,0.0,6.09,17,11,3,1,1,4,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0.4,0.66,0.0,13.65,0.3%,0.54,9b --- 0 out a4,9b 3 out a4,johnsji04,,,
2.0,2.0,2012-10-07,BAL,,NYY,"L, 2-7",ALDS G1,9-9,L(0-1),1.0,0.1,5,5,4,1,0,0,1,0,0,0,6,27.0,13.59,17,11,1,1,3,2,1,0,0,0,0,0,0,0,6,1,0,0,0,0,1.0,0.98,-0.5,15.34,-5.0%,-4.44,9t --- 0 out tie,9t --3 1 out d4,johnsji04,,,
3.0,3.0,2012-10-08,BAL,,NYY,"W, 3-2",ALDS G2,9-GF,S(1),0.0,1.0,0,0,0,0,0,0,1,0,0,0,3,15.43,8.24,12,8,1,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,2.14,0.2,30.58,1.3%,0.51,9t --- 0 out a1,9t 3 out a1,johnsji04,,,
4.0,4.0,2012-10-10,BAL,@,NYY,"L, 2-3 (12)",ALDS G3,9-11,BS(1),1.0,2.0,1,1,1,1,0,0,1,0,0,0,7,10.38,8.4,22,16,6,3,1,5,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0,2.13,-0.2,44.17,-2.3%,0.03,9b --- 0 out a1,10b 3 out tie,johnsji04,,,
5.0,5.0,2012-10-11,BAL,@,NYY,"W, 2-1 (13)",ALDS G4,13-GF(14),S(2),0.0,1.0,0,0,0,0,0,0,1,0,0,0,3,8.44,7.03,14,10,3,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,2.68,0.2,51.32,2.6%,0.52,13b --- 0 out a1,13b 3 out a1,johnsji04,,,
,,,,,,3-2,,,"W-L:0-1,Sv:2,BSv:1",,5.1,8,6,5,2,1,0,4,0,0,0,25,8.44,7.03,82,56,14,8,7,13,8,0,0,0,0,0,0,0,24,1,0,0,0,0,0.333,1.57,-0.3,15.34,-3.2%,-2.85,,,johnsji04,,,
